k13A_o17_15_c4a2.cnf: UNSAT | VERIFIED
k13A_o17_15_c4a3.cnf: UNSAT | VERIFIED
k13A_o17_15_dia0.cnf: UNSAT | VERIFIED
k13A_o17_15_dia1.cnf: UNSAT | VERIFIED
k13A_o18_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o18_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o18_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o18_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o18_04_dia0.cnf: UNSAT | VERIFIED
k13A_o18_04_dia1.cnf: UNSAT | VERIFIED
k13A_o19_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o19_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o19_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o19_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o19_04_dia0.cnf: UNSAT | VERIFIED
k13A_o19_04_dia1.cnf: UNSAT | VERIFIED
k13A_o20_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o20_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o20_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o20_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o20_04_dia0.cnf: UNSAT | VERIFIED
k13A_o20_04_dia1.cnf: UNSAT | VERIFIED
k13A_o21_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o21_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o21_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o21_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o21_04_dia0.cnf: UNSAT | VERIFIED
k13A_o21_04_dia1.cnf: UNSAT | VERIFIED
k13A_o22_35_c4a0.cnf: UNSAT | VERIFIED
k13A_o22_35_c4a1.cnf: UNSAT | VERIFIED
k13A_o22_35_c4a2.cnf: UNSAT | VERIFIED
k13A_o22_35_c4a3.cnf: UNSAT | VERIFIED
k13A_o22_35_dia0.cnf: UNSAT | VERIFIED
k13A_o22_35_dia1.cnf: UNSAT | VERIFIED
k13A_o23_56_c4a0.cnf: UNSAT | VERIFIED
k13A_o23_56_c4a1.cnf: UNSAT | VERIFIED
k13A_o23_56_c4a2.cnf: UNSAT | VERIFIED
k13A_o23_56_c4a3.cnf: UNSAT | VERIFIED
k13A_o23_56_dia0.cnf: UNSAT | VERIFIED
k13A_o23_56_dia1.cnf: UNSAT | VERIFIED
k13A_o24_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o24_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o24_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o24_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o24_04_dia0.cnf: UNSAT | VERIFIED
k13A_o24_04_dia1.cnf: UNSAT | VERIFIED
k13A_o25_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o25_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o25_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o25_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o25_04_dia0.cnf: UNSAT | VERIFIED
k13A_o25_04_dia1.cnf: UNSAT | VERIFIED
k13A_o26_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o26_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o26_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o26_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o26_04_dia0.cnf: UNSAT | VERIFIED
k13A_o26_04_dia1.cnf: UNSAT | VERIFIED
k13A_o27_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o27_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o27_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o27_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o27_04_dia0.cnf: UNSAT | VERIFIED
k13A_o27_04_dia1.cnf: UNSAT | VERIFIED
k13A_o28_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o28_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o28_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o28_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o28_04_dia0.cnf: UNSAT | VERIFIED
k13A_o28_04_dia1.cnf: UNSAT | VERIFIED
k13A_o29_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o29_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o29_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o29_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o29_04_dia0.cnf: UNSAT | VERIFIED
k13A_o29_04_dia1.cnf: UNSAT | VERIFIED
k13A_o30_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o30_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o30_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o30_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o30_04_dia0.cnf: UNSAT | VERIFIED
k13A_o30_04_dia1.cnf: UNSAT | VERIFIED
k13A_o31_15_c4a0.cnf: UNSAT | VERIFIED
k13A_o31_15_c4a1.cnf: UNSAT | VERIFIED
k13A_o31_15_c4a2.cnf: UNSAT | VERIFIED
k13A_o31_15_c4a3.cnf: UNSAT | VERIFIED
k13A_o31_15_dia0.cnf: UNSAT | VERIFIED
k13A_o31_15_dia1.cnf: UNSAT | VERIFIED
k13A_o32_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o32_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o32_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o32_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o32_04_dia0.cnf: UNSAT | VERIFIED
k13A_o32_04_dia1.cnf: UNSAT | VERIFIED
k13A_o33_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o33_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o33_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o33_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o33_04_dia0.cnf: UNSAT | VERIFIED
k13A_o33_04_dia1.cnf: UNSAT | VERIFIED
k13A_o34_03_c4a0.cnf: UNSAT | VERIFIED
k13A_o34_03_c4a1.cnf: UNSAT | VERIFIED
k13A_o34_03_c4a2.cnf: UNSAT | VERIFIED
k13A_o34_03_c4a3.cnf: UNSAT | VERIFIED
k13A_o34_03_dia0.cnf: UNSAT | VERIFIED
k13A_o34_03_dia1.cnf: UNSAT | VERIFIED
k13A_o35_03_c4a0.cnf: UNSAT | VERIFIED
k13A_o35_03_c4a1.cnf: UNSAT | VERIFIED
k13A_o35_03_c4a2.cnf: UNSAT | VERIFIED
k13A_o35_03_c4a3.cnf: UNSAT | VERIFIED
k13A_o35_03_dia0.cnf: UNSAT | VERIFIED
k13A_o35_03_dia1.cnf: UNSAT | VERIFIED
k13A_o36_15_c4a0.cnf: UNSAT | VERIFIED
k13A_o36_15_c4a1.cnf: UNSAT | VERIFIED
k13A_o36_15_c4a2.cnf: UNSAT | VERIFIED
k13A_o36_15_c4a3.cnf: UNSAT | VERIFIED
k13A_o36_15_dia0.cnf: UNSAT | VERIFIED
k13A_o36_15_dia1.cnf: UNSAT | VERIFIED
k13A_o37_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o37_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o37_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o37_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o37_04_dia0.cnf: UNSAT | VERIFIED
k13A_o37_04_dia1.cnf: UNSAT | VERIFIED
k13A_o38_03_c4a0.cnf: UNSAT | VERIFIED
k13A_o38_03_c4a1.cnf: UNSAT | VERIFIED
k13A_o38_03_c4a2.cnf: UNSAT | VERIFIED
k13A_o38_03_c4a3.cnf: UNSAT | VERIFIED
k13A_o38_03_dia0.cnf: UNSAT | VERIFIED
k13A_o38_03_dia1.cnf: UNSAT | VERIFIED
k13A_o39_15_c4a0.cnf: UNSAT | VERIFIED
k13A_o39_15_c4a1.cnf: UNSAT | VERIFIED
k13A_o39_15_c4a2.cnf: UNSAT | VERIFIED
k13A_o39_15_c4a3.cnf: UNSAT | VERIFIED
k13A_o39_15_dia0.cnf: UNSAT | VERIFIED
k13A_o39_15_dia1.cnf: UNSAT | VERIFIED
k13A_o40_15_c4a0.cnf: UNSAT | VERIFIED
k13A_o40_15_c4a1.cnf: UNSAT | VERIFIED
k13A_o40_15_c4a2.cnf: UNSAT | VERIFIED
k13A_o40_15_c4a3.cnf: UNSAT | VERIFIED
k13A_o40_15_dia0.cnf: UNSAT | VERIFIED
k13A_o40_15_dia1.cnf: UNSAT | VERIFIED
k13A_o41_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o41_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o41_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o41_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o41_04_dia0.cnf: UNSAT | VERIFIED
k13A_o41_04_dia1.cnf: UNSAT | VERIFIED
k13A_o42_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o42_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o42_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o42_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o42_04_dia0.cnf: UNSAT | VERIFIED
k13A_o42_04_dia1.cnf: UNSAT | VERIFIED
k13A_o43_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o43_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o43_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o43_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o43_04_dia0.cnf: UNSAT | VERIFIED
k13A_o43_04_dia1.cnf: UNSAT | VERIFIED
k13A_o44_15_c4a0.cnf: UNSAT | VERIFIED
k13A_o44_15_c4a1.cnf: UNSAT | VERIFIED
k13A_o44_15_c4a2.cnf: UNSAT | VERIFIED
k13A_o44_15_c4a3.cnf: UNSAT | VERIFIED
k13A_o44_15_dia0.cnf: UNSAT | VERIFIED
k13A_o44_15_dia1.cnf: UNSAT | VERIFIED
k13A_o45_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o45_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o45_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o45_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o45_04_dia0.cnf: UNSAT | VERIFIED
k13A_o45_04_dia1.cnf: UNSAT | VERIFIED
k13A_o46_36_c4a0.cnf: UNSAT | VERIFIED
k13A_o46_36_c4a1.cnf: UNSAT | VERIFIED
k13A_o46_36_c4a2.cnf: UNSAT | VERIFIED
k13A_o46_36_c4a3.cnf: UNSAT | VERIFIED
k13A_o46_36_dia0.cnf: UNSAT | VERIFIED
k13A_o46_36_dia1.cnf: UNSAT | VERIFIED
k13A_o47_04_c4a0.cnf: UNSAT | VERIFIED
k13A_o47_04_c4a1.cnf: UNSAT | VERIFIED
k13A_o47_04_c4a2.cnf: UNSAT | VERIFIED
k13A_o47_04_c4a3.cnf: UNSAT | VERIFIED
k13A_o47_04_dia0.cnf: UNSAT | VERIFIED
k13A_o47_04_dia1.cnf: UNSAT | VERIFIED
k13A_o48_56_c4a0.cnf: UNSAT | VERIFIED
k13A_o48_56_c4a1.cnf: UNSAT | VERIFIED
k13A_o48_56_c4a2.cnf: UNSAT | VERIFIED
k13A_o48_56_c4a3.cnf: UNSAT | VERIFIED
