k15A_o0_01_c4a0.cnf: UNSAT | VERIFIED
k15A_o0_01_c4a1.cnf: UNSAT | VERIFIED
k15A_o0_01_c4a2.cnf: UNSAT | VERIFIED
k15A_o0_01_c4a3.cnf: UNSAT | VERIFIED
k15A_o0_01_dia0.cnf: UNSAT | VERIFIED
k15A_o0_01_dia1.cnf: UNSAT | VERIFIED
k15A_o1_03_c4a0.cnf: UNSAT | VERIFIED
k15A_o1_03_c4a1.cnf: UNSAT | VERIFIED
k15A_o1_03_c4a2.cnf: UNSAT | VERIFIED
k15A_o1_03_c4a3.cnf: UNSAT | VERIFIED
k15A_o1_03_dia0.cnf: UNSAT | VERIFIED
k15A_o1_03_dia1.cnf: UNSAT | VERIFIED
k15A_o2_01_c4a0.cnf: UNSAT | VERIFIED
k15A_o2_01_c4a1.cnf: UNSAT | VERIFIED
k15A_o2_01_c4a2.cnf: UNSAT | VERIFIED
k15A_o2_01_c4a3.cnf: UNSAT | VERIFIED
k15A_o2_01_dia0.cnf: UNSAT | VERIFIED
k15A_o2_01_dia1.cnf: UNSAT | VERIFIED
k15A_o3_04_c4a0.cnf: UNSAT | VERIFIED
k15A_o3_04_c4a1.cnf: UNSAT | VERIFIED
k15A_o3_04_c4a2.cnf: UNSAT | VERIFIED
k15A_o3_04_c4a3.cnf: UNSAT | VERIFIED
k15A_o3_04_dia0.cnf: UNSAT | VERIFIED
k15A_o3_04_dia1.cnf: UNSAT | VERIFIED
k15A_o4_03_c4a0.cnf: UNSAT | VERIFIED
k15A_o4_03_c4a1.cnf: UNSAT | VERIFIED
k15A_o4_03_c4a2.cnf: UNSAT | VERIFIED
k15A_o4_03_c4a3.cnf: UNSAT | VERIFIED
k15A_o4_03_dia0.cnf: UNSAT | VERIFIED
k15A_o4_03_dia1.cnf: UNSAT | VERIFIED
k15A_o5_03_c4a0.cnf: UNSAT | VERIFIED
k15A_o5_03_c4a1.cnf: UNSAT | VERIFIED
k15A_o5_03_c4a2.cnf: UNSAT | VERIFIED
k15A_o5_03_c4a3.cnf: UNSAT | VERIFIED
k15A_o5_03_dia0.cnf: UNSAT | VERIFIED
k15A_o5_03_dia1.cnf: UNSAT | VERIFIED
k15A_o6_03_c4a0.cnf: UNSAT | VERIFIED
k15A_o6_03_c4a1.cnf: UNSAT | VERIFIED
k15A_o6_03_c4a2.cnf: UNSAT | VERIFIED
k15A_o6_03_c4a3.cnf: UNSAT | VERIFIED
k15A_o6_03_dia0.cnf: UNSAT | VERIFIED
k15A_o6_03_dia1.cnf: UNSAT | VERIFIED
k15A_o7_01_c4a0.cnf: UNSAT | VERIFIED
k15A_o7_01_c4a1.cnf: UNSAT | VERIFIED
k15A_o7_01_c4a2.cnf: UNSAT | VERIFIED
k15A_o7_01_c4a3.cnf: UNSAT | VERIFIED
k15A_o7_01_dia0.cnf: UNSAT | VERIFIED
k15A_o7_01_dia1.cnf: UNSAT | VERIFIED
k15A_o8_03_c4a0.cnf: UNSAT | VERIFIED
k15A_o8_03_c4a1.cnf: UNSAT | VERIFIED
k15A_o8_03_c4a2.cnf: UNSAT | VERIFIED
k15A_o8_03_c4a3.cnf: UNSAT | VERIFIED
k15A_o8_03_dia0.cnf: UNSAT | VERIFIED
k15A_o8_03_dia1.cnf: UNSAT | VERIFIED
k15A_o9_01_c4a0.cnf: UNSAT | VERIFIED
k15A_o9_01_c4a1.cnf: UNSAT | VERIFIED
k15A_o9_01_c4a2.cnf: UNSAT | VERIFIED
k15A_o9_01_c4a3.cnf: UNSAT | VERIFIED
k15A_o9_01_dia0.cnf: UNSAT | VERIFIED
k15A_o9_01_dia1.cnf: UNSAT | VERIFIED
k15A_o10_01_c4a0.cnf: UNSAT | VERIFIED
k15A_o10_01_c4a1.cnf: UNSAT | VERIFIED
k15A_o10_01_c4a2.cnf: UNSAT | VERIFIED
k15A_o10_01_c4a3.cnf: UNSAT | VERIFIED
k15A_o10_01_dia0.cnf: UNSAT | VERIFIED
k15A_o10_01_dia1.cnf: UNSAT | VERIFIED
k15A_o11_24_c4a0.cnf: UNSAT | VERIFIED
k15A_o11_24_c4a1.cnf: UNSAT | VERIFIED
k15A_o11_24_c4a2.cnf: UNSAT | VERIFIED
k15A_o11_24_c4a3.cnf: UNSAT | VERIFIED
k15A_o11_24_dia0.cnf: UNSAT | VERIFIED
k15A_o11_24_dia1.cnf: UNSAT | VERIFIED
k15A_o12_45_c4a0.cnf: UNSAT | VERIFIED
k15A_o12_45_c4a1.cnf: UNSAT | VERIFIED
k15A_o12_45_c4a2.cnf: UNSAT | VERIFIED
k15A_o12_45_c4a3.cnf: UNSAT | VERIFIED
k15A_o12_45_dia0.cnf: UNSAT | VERIFIED
k15A_o12_45_dia1.cnf: UNSAT | VERIFIED
k15A_o13_03_c4a0.cnf: UNSAT | VERIFIED
