k14A_o0_03_c4a0.cnf: UNSAT | VERIFIED
k14A_o0_03_c4a1.cnf: UNSAT | VERIFIED
k14A_o0_03_c4a2.cnf: UNSAT | VERIFIED
k14A_o0_03_c4a3.cnf: UNSAT | VERIFIED
k14A_o0_03_dia0.cnf: UNSAT | VERIFIED
k14A_o0_03_dia1.cnf: UNSAT | VERIFIED
k14A_o1_04_c4a0.cnf: UNSAT | VERIFIED
k14A_o1_04_c4a1.cnf: UNSAT | VERIFIED
k14A_o1_04_c4a2.cnf: UNSAT | VERIFIED
k14A_o1_04_c4a3.cnf: UNSAT | VERIFIED
k14A_o1_04_dia0.cnf: UNSAT | VERIFIED
k14A_o1_04_dia1.cnf: UNSAT | VERIFIED
k14A_o2_03_c4a0.cnf: UNSAT | VERIFIED
k14A_o2_03_c4a1.cnf: UNSAT | VERIFIED
k14A_o2_03_c4a2.cnf: UNSAT | VERIFIED
k14A_o2_03_c4a3.cnf: UNSAT | VERIFIED
k14A_o2_03_dia0.cnf: UNSAT | VERIFIED
k14A_o2_03_dia1.cnf: UNSAT | VERIFIED
k14A_o3_05_c4a0.cnf: UNSAT | VERIFIED
k14A_o3_05_c4a1.cnf: UNSAT | VERIFIED
k14A_o3_05_c4a2.cnf: UNSAT | VERIFIED
k14A_o3_05_c4a3.cnf: UNSAT | VERIFIED
k14A_o3_05_dia0.cnf: UNSAT | VERIFIED
k14A_o3_05_dia1.cnf: UNSAT | VERIFIED
k14A_o4_03_c4a0.cnf: UNSAT | VERIFIED
k14A_o4_03_c4a1.cnf: UNSAT | VERIFIED
k14A_o4_03_c4a2.cnf: UNSAT | VERIFIED
k14A_o4_03_c4a3.cnf: UNSAT | VERIFIED
k14A_o4_03_dia0.cnf: UNSAT | VERIFIED
k14A_o4_03_dia1.cnf: UNSAT | VERIFIED
k14A_o5_03_c4a0.cnf: UNSAT | VERIFIED
k14A_o5_03_c4a1.cnf: UNSAT | VERIFIED
k14A_o5_03_c4a2.cnf: UNSAT | VERIFIED
k14A_o5_03_c4a3.cnf: UNSAT | VERIFIED
k14A_o5_03_dia0.cnf: UNSAT | VERIFIED
k14A_o5_03_dia1.cnf: UNSAT | VERIFIED
k14A_o6_04_c4a0.cnf: UNSAT | VERIFIED
k14A_o6_04_c4a1.cnf: UNSAT | VERIFIED
k14A_o6_04_c4a2.cnf: UNSAT | VERIFIED
k14A_o6_04_c4a3.cnf: UNSAT | VERIFIED
k14A_o6_04_dia0.cnf: UNSAT | VERIFIED
k14A_o6_04_dia1.cnf: UNSAT | VERIFIED
k14A_o7_04_c4a0.cnf: UNSAT | VERIFIED
k14A_o7_04_c4a1.cnf: UNSAT | VERIFIED
k14A_o7_04_c4a2.cnf: UNSAT | VERIFIED
k14A_o7_04_c4a3.cnf: UNSAT | VERIFIED
k14A_o7_04_dia0.cnf: UNSAT | VERIFIED
k14A_o7_04_dia1.cnf: UNSAT | VERIFIED
k14A_o8_04_c4a0.cnf: UNSAT | VERIFIED
k14A_o8_04_c4a1.cnf: UNSAT | VERIFIED
k14A_o8_04_c4a2.cnf: UNSAT | VERIFIED
k14A_o8_04_c4a3.cnf: UNSAT | VERIFIED
k14A_o8_04_dia0.cnf: UNSAT | VERIFIED
k14A_o8_04_dia1.cnf: UNSAT | VERIFIED
k14A_o9_04_c4a0.cnf: UNSAT | VERIFIED
k14A_o9_04_c4a1.cnf: UNSAT | VERIFIED
k14A_o9_04_c4a2.cnf: UNSAT | VERIFIED
k14A_o9_04_c4a3.cnf: UNSAT | VERIFIED
k14A_o9_04_dia0.cnf: UNSAT | VERIFIED
k14A_o9_04_dia1.cnf: UNSAT | VERIFIED
k14A_o10_04_c4a0.cnf: UNSAT | VERIFIED
k14A_o10_04_c4a1.cnf: UNSAT | VERIFIED
k14A_o10_04_c4a2.cnf: UNSAT | VERIFIED
k14A_o10_04_c4a3.cnf: UNSAT | VERIFIED
k14A_o10_04_dia0.cnf: UNSAT | VERIFIED
k14A_o10_04_dia1.cnf: UNSAT | VERIFIED
k14A_o11_03_c4a0.cnf: UNSAT | VERIFIED
k14A_o11_03_c4a1.cnf: UNSAT | VERIFIED
