k16A_tri_2chord_03_dia1.cnf: UNSAT | VERIFIED | 3247602B
k16A_cherry_2disj_01_c4a0.cnf: UNSAT | VERIFIED | 3486363B
k16A_cherry_2disj_01_c4a1.cnf: UNSAT | VERIFIED | 3486364B
k16A_cherry_2disj_01_c4a2.cnf: UNSAT | VERIFIED | 3486364B
k16A_cherry_2disj_01_c4a3.cnf: UNSAT | VERIFIED | 3486365B
k16A_cherry_2disj_01_dia0.cnf: UNSAT | VERIFIED | 3486363B
k16A_cherry_2disj_01_dia1.cnf: UNSAT | VERIFIED | 3486363B
k16A_tri_cherry_disj_34_c4a0.cnf: UNSAT | VERIFIED | 3247546B
k16A_tri_cherry_disj_34_c4a1.cnf: UNSAT | VERIFIED | 3247546B
k16A_tri_cherry_disj_34_c4a2.cnf: UNSAT | VERIFIED | 3247546B
k16A_tri_cherry_disj_34_c4a3.cnf: UNSAT | VERIFIED | 3247546B
k16A_tri_cherry_disj_34_dia0.cnf: UNSAT | VERIFIED | 3247545B
k16A_tri_cherry_disj_34_dia1.cnf: UNSAT | VERIFIED | 3247545B
k16A_C4_disj_edge_45_c4a0.cnf: UNSAT | VERIFIED | 3229868B
k16A_C4_disj_edge_45_c4a1.cnf: UNSAT | VERIFIED | 3229868B
k16A_C4_disj_edge_45_c4a2.cnf: UNSAT | VERIFIED | 3229868B
k16A_C4_disj_edge_45_c4a3.cnf: UNSAT | VERIFIED | 3229868B
k16A_C4_disj_edge_45_dia0.cnf: UNSAT | VERIFIED | 3229867B
k16A_C4_disj_edge_45_dia1.cnf: UNSAT | VERIFIED | 3229867B
k16A_star4_disj_01_c4a0.cnf: UNSAT | VERIFIED | 3486360B
k16A_star4_disj_01_c4a1.cnf: UNSAT | VERIFIED | 3486361B
k16A_star4_disj_01_c4a2.cnf: UNSAT | VERIFIED | 3486361B
k16A_star4_disj_01_c4a3.cnf: UNSAT | VERIFIED | 3486362B
k16A_star4_disj_01_dia0.cnf: UNSAT | VERIFIED | 3486360B
k16A_star4_disj_01_dia1.cnf: UNSAT | VERIFIED | 3486360B
k16A_tri_2disj_34_c4a0.cnf: UNSAT | VERIFIED | 3247562B
k16A_tri_2disj_34_c4a1.cnf: UNSAT | VERIFIED | 3247562B
k16A_tri_2disj_34_c4a2.cnf: UNSAT | VERIFIED | 3247562B
k16A_tri_2disj_34_c4a3.cnf: UNSAT | VERIFIED | 3247562B
k16A_tri_2disj_34_dia0.cnf: UNSAT | VERIFIED | 3247561B
k16A_tri_2disj_34_dia1.cnf: UNSAT | VERIFIED | 3247561B
k16A_star5_01_c4a0.cnf: UNSAT | VERIFIED | 3486341B
k16A_star5_01_c4a1.cnf: UNSAT | VERIFIED | 3486342B
k16A_star5_01_c4a2.cnf: UNSAT | VERIFIED | 3486342B
k16A_star5_01_c4a3.cnf: UNSAT | VERIFIED | 3486343B
k16A_star5_01_dia0.cnf: UNSAT | VERIFIED | 3486341B
k16A_star5_01_dia1.cnf: UNSAT | VERIFIED | 3486341B
k16A certs: PASS=114 FAIL=0
